,Price,Area,BHK,Location,Type,Price_num,Price/Sqft
101,87 Lac,2820.0,3,Kankanady,Flat,8700000.0,3085.0
102,45 Lac,2100.0,3,Derlakatte,Flat,4500000.0,2143.0
103,0,1400.0,2,Kuntikana,Flat,,
104,1.65 Cr,1646.0,3,Pumpwell,Flat,16500000.0,10024.0
105,1 Cr,1580.0,2,Bejai,Flat,10000000.0,6329.0
106,4 Lac,1350.0,2,Kulshekar,Flat,400000.0,296.0
107,35 Lac,1300.0,2,Krishnapura,Flat,3500000.0,2692.0
108,47.3 Lac,1140.0,2,Kulshekar,Flat,4730000.0,4149.0
109,41.7 Lac,1005.0,2,Kulshekar,Flat,4170000.0000000005,4149.0
110,2.77 Cr,5228.0,4,Pumpwell,Flat,27700000.0,5298.0
111,81.4 Lac,1225.0,2,Pumpwell,Flat,8140000.000000001,6645.0
112,1.55 Cr,2300.0,3,Kadri,Flat,15500000.0,6739.0
113,1.53 Cr,2270.0,3,Kadri,Flat,15300000.0,6740.0
114,41.8 Lac,705.0,1,Kottara,Flat,4179999.9999999995,5929.0
115,1.15 Cr,2045.0,3,Kottara,Flat,11500000.0,5623.0
116,98 Lac,1224.0,2,Kudroli,Flat,9800000.0,8007.0
117,3.77 Cr,4054.0,4,Kudroli,Flat,37700000.0,9299.0
118,33.4 Lac,560.0,1,Nagar,Flat,3340000.0,5964.0
119,54.9 Lac,970.0,2,Nagar,Flat,5490000.0,5660.0
120,50.9 Lac,970.0,2,Nagar,Flat,5090000.0,5247.0
121,37.3 Lac,1007.0,2,Kulshekar,Flat,3729999.9999999995,3704.0
122,25.8 Lac,698.0,1,Kulshekar,Flat,2580000.0,3696.0
123,1.35 Cr,1589.0,3,Bejai,Flat,13500000.0,8496.0
124,1.50 Cr,1740.0,3,Bejai,Flat,15000000.0,8621.0
126,46 Lac,1620.0,2,Nagar,Flat,4600000.0,2840.0
127,1.45 Cr,2437.5,3,Bejai,Flat,14500000.0,5949.0
128,95 Lac,2623.5,3,Bejai,Flat,9500000.0,3621.0
129,1.41 Cr,1284.0,2,Kulai,Flat,14100000.0,10981.0
130,1.92 Cr,1827.0,2,Kulai,Flat,19200000.0,10509.0
132,55 Lac,1350.0,2,Bondel,Flat,5500000.0,4074.0
133,40 Lac,1230.0,2,Nagar,Flat,4000000.0,3252.0
134,35 Lac,1584.0,2,Kulai,Flat,3500000.0,2210.0
135,43.7 Lac,1182.0,3,Kulshekar,Flat,4370000.0,3697.0
136,78.4 Lac,1370.0,3,Kottara,Flat,7840000.000000001,5723.0
137,61.6 Lac,1065.0,2,Kottara,Flat,6160000.0,5784.0
138,42.3 Lac,715.0,1,Kottara,Flat,4230000.0,5916.0
139,42.1 Lac,710.0,1,Kottara,Flat,4210000.0,5930.0
140,45 Lac,835.0,2,Kankanady,Flat,4500000.0,5389.0
141,38 Lac,850.0,2,Attavar,Flat,3800000.0,4471.0
