Title,Price,Area,Area-Type
"2 BHK Flat for Sale in Krishnapura, Mangalore",₹35 Lac,1300 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹47.3 Lac,1140 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹41.7 Lac,1005 sqft,Super Area
"4 BHK Flat for Sale in Pumpwell, Mangalore",₹2.77 Cr,5228 sqft,Super Area
"2 BHK Flat for Sale in Pumpwell, Mangalore",₹81.4 Lac,1225 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹1.55 Cr,2300 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹1.53 Cr,2270 sqft,Super Area
"1 BHK Flat for Sale in Kottara Chowk, Mangalore",₹41.8 Lac,705 sqft,Super Area
"3 BHK Flat for Sale in Kottara Chowk, Mangalore",₹1.15 Cr,2045 sqft,Super Area
"2 BHK Flat for Sale in Kudroli, Mangalore",₹98 Lac,1224 sqft,Super Area
"4 BHK Flat for Sale in Kudroli, Mangalore",₹3.77 Cr,4054 sqft,Super Area
"1 BHK Flat for Sale in Shakti Nagar, Mangalore",₹33.4 Lac,560 sqft,Super Area
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹54.9 Lac,970 sqft,Super Area
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹50.9 Lac,970 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹37.3 Lac,1007 sqft,Super Area
"1 BHK Flat for Sale in Kulshekar, Mangalore",₹25.8 Lac,698 sqft,Super Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹1.35 Cr,1589 sqft,Super Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹1.50 Cr,1740 sqft,Super Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹70 Lac,1160 sqft,Carpet Area
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹46 Lac,1080 sqft,Carpet Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹1.45 Cr,1625 sqft,Carpet Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹95 Lac,1749 sqft,Carpet Area
"2 BHK Flat for Sale in Kulai, Mangalore",₹1.41 Cr,1284 sqft,Super Area
"2 BHK Flat for Sale in Kulai, Mangalore",₹1.92 Cr,1827 sqft,Super Area
"3 BHK Flat for Sale in Kadri Hills, Mangalore",₹1.05 Cr,1565 sqft,Super Area
"2 BHK Flat for Sale in Bondel, Mangalore",₹55 Lac,900 sqft,Carpet Area
