Price,Area,BHK,Location,Type,Price_num,Price/Sqft
35 Lac,1584.0,2,Kulai,Flat,3500000.0,2210.0
43.7 Lac,1182.0,3,Kulshekar,Flat,4370000.0,3697.0
78.4 Lac,1370.0,3,Kottara,Flat,7840000.000000001,5723.0
61.6 Lac,1065.0,2,Kottara,Flat,6160000.0,5784.0
42.3 Lac,715.0,1,Kottara,Flat,4230000.0,5916.0
42.1 Lac,710.0,1,Kottara,Flat,4210000.0,5930.0
45 Lac,835.0,2,Kankanady,Flat,4500000.0,5389.0
38 Lac,850.0,2,Attavar,Flat,3800000.0,4471.0
82 Lac,1787.0,3,Bikarnakatta,Flat,8200000.0,4589.0
32 Lac,1560.0,2,Others,Flat,3200000.0,2051.0
76.2 Lac,1330.0,3,Kottara,Flat,7620000.0,5729.0
61 Lac,1055.0,2,Kottara,Flat,6100000.0,5782.0
75 Lac,1755.0,2,Kulashekara,Flat,7500000.0,4274.0
1.07 Cr,1810.0,3,Bondel,Flat,10700000.0,5912.0
1018.80 Cr,1415.0,3,Padukodi,Flat,10188000000.0,7200000.0
1249.50 Cr,1470.0,3,Padukodi,Flat,12495000000.0,8500000.0
49.3 Lac,985.0,2,Nagar,Flat,4930000.0,5005.0
28 Lac,840.0,1,Nagar,Flat,2800000.0,3333.0
97 Lac,2115.0,3,Bejai,Flat,9700000.0,4586.0
77 Lac,1794.0,2,Bejai,Flat,7700000.0,4292.0
96 Lac,2115.0,3,Bejai,Flat,9600000.0,4539.0
3409.06 Cr,2132.0,3,Bendoorwell,Flat,34090600000.0,15989962.0
5247.01 Cr,2645.0,4,Bendoorwell,Flat,52470100000.0,19837467.0
60.5 Lac,465.0,1,Balmatta,Flat,6050000.0,13011.0
45 Lac,1200.0,3,Others,Flat,4500000.0,3750.0
65 Lac,1620.0,3,Pandeshwar,Flat,6500000.0,4012.0
99 Lac,1950.0,2,Nantoor,Flat,9900000.0,5077.0
48.5 Lac,1725.0,2,Padil,Flat,4850000.0,2812.0
98 Lac,1450.0,2,Kadri,Flat,9800000.0,6759.0
65 Lac,1260.0,2,Urwa,Flat,6500000.0,5159.0
1.52 Cr,1942.0,3,Kudroli,Flat,15200000.0,7827.0
50 Lac,1650.0,2,Jeppinamogaru,Flat,5000000.0,3030.0
38220.59 Cr,6912.0,6,Kadri,Flat,382205899999.99994,55295992.0
36 Lac,1575.0,2,Maroli,Flat,3600000.0,2286.0
1.80 Cr,3600.0,4,Lalbagh,Flat,18000000.0,5000.0
88 Lac,1700.0,3,Lalbagh,Flat,8800000.0,5176.0
92 Lac,1700.0,3,Lalbagh,Flat,9200000.0,5412.0
40 Lac,950.0,2,Lalbagh,Flat,4000000.0,4211.0
78 Lac,1175.0,2,Kodailbail,Flat,7800000.0,6638.0
47 Lac,1575.0,2,Pumpwell,Flat,4700000.0,2984.0
1.05 Cr,1870.0,3,Kulai,Flat,10500000.0,5615.0
42 Lac,1584.0,2,Surathkal,Flat,4200000.0,2652.0
1.35 Cr,2250.0,3,Boloor,Flat,13500000.0,6000.0
30 Lac,850.0,2,Others,Flat,3000000.0,3529.0
42 Lac,1500.0,2,Bejai,Flat,4200000.0,2800.0
98 Lac,1450.0,2,Kadri,Flat,9800000.0,6759.0
2.19 Cr,3250.0,4,Kadri,Flat,21900000.0,6738.0
2.66 Cr,3950.0,4,Kadri,Flat,26600000.0,6734.0
2.90 Cr,4300.0,4,Kadri,Flat,29000000.0,6744.0
3.11 Cr,4615.0,4,Kadri,Flat,31100000.0,6739.0
38 Lac,1115.0,2,Gurupura,Flat,3800000.0,3408.0
68 Lac,1575.0,2,Others,Flat,6800000.0,4317.0
1.03 Cr,1525.0,2,Kadri,Flat,10300000.0,6754.0
1.35 Cr,2005.0,3,Kadri,Flat,13500000.0,6733.0
60 Lac,1091.0,2,Derebail,Flat,6000000.0,5500.0
90.7 Lac,1400.0,2,Kuntikana,Flat,9070000.0,6479.0
35 Lac,1250.0,2,Mukka,Flat,3500000.0,2800.0
1.08 Cr,1780.0,3,Kankanady,Flat,10800000.0,6067.0
81 Lac,1542.0,3,Nagar,Flat,8100000.0,5253.0
85 Lac,1800.0,3,Bikarnakatta,Flat,8500000.0,4722.0
50 Lac,1170.0,2,Kulshekar,Flat,5000000.0,4274.0
52 Lac,1210.0,2,Thokkttu,Flat,5200000.0,4298.0
48 Lac,2175.0,3,Moodabidri,Flat,4800000.0,2207.0
30 Lac,690.0,2,Kulshekar,Flat,3000000.0,4348.0
45.3 Lac,1090.0,2,Kulshekar,Flat,4530000.0,4156.0
67 Lac,1100.0,2,Urwa,Flat,6700000.0,6091.0
72 Lac,2175.0,3,Kadri,Flat,7200000.0,3310.0
2.81 Cr,2100.0,3,Chilimbi,Flat,28100000.0,13381.0
67 Lac,1725.0,2,Nagar,Flat,6700000.0,3884.0
75 Lac,1175.0,0,Kodailbail,Flat,7500000.0,6383.0
1.12 Cr,2175.0,3,Derebail,Flat,11200000.000000002,5149.0
11 Lac,450.0,1,Kankanady,Flat,1100000.0,2444.0
1 Cr,2250.0,3,Lalbagh,Flat,10000000.0,4444.0
45 Lac,1755.0,2,Kulshekar,Flat,4500000.0,2564.0
28 Lac,630.0,2,Others,Flat,2800000.0,4444.0
79.1 Lac,1396.5,2,Bondel,Flat,7909999.999999999,5664.0
65 Lac,1091.0,2,Derebail,Flat,6500000.0,5958.0
57 Lac,1175.0,2,Kottara,Flat,5700000.0,4851.0
60.1 Lac,1470.0,2,Derebail,Flat,6010000.0,4088.0
98.4 Lac,1405.0,2,Kadri,Flat,9840000.0,7004.0
39 Lac,730.0,2,Nagar,Flat,3900000.0,5342.0
3.15 Cr,3300.0,3,Kadri,Flat,31500000.0,9545.0
73 Lac,1912.5,2,Others,Flat,7300000.0,3817.0
45 Lac,1170.0,2,Pumpwell,Flat,4500000.0,3846.0
32 Lac,900.0,2,Derebail,Flat,3200000.0,3556.0
43 Lac,1537.5,2,Nagar,Flat,4300000.0,2797.0
47 Lac,1245.0,2,Urwa,Flat,4700000.0,3775.0
1.10 Cr,1670.0,3,Balmatta,Flat,11000000.0,6587.0
65 Lac,1048.0,2,Mannagudda,Flat,6500000.0,6202.0
16.5 Lac,750.0,1,Kulshekar,Flat,1650000.0,2200.0
34 Lac,1410.0,2,Kavoor,Flat,3400000.0,2411.0
2.08 Cr,2870.0,4,Pumpwell,Flat,20800000.0,7247.0
1.18 Cr,1831.0,3,Pumpwell,Flat,11800000.0,6445.0
1.08 Cr,1646.0,3,Pumpwell,Flat,10800000.0,6561.0
81.4 Lac,1224.0,2,Pumpwell,Flat,8140000.000000001,6650.0
40 Lac,1650.0,2,Kavoor,Flat,4000000.0,2424.0
82 Lac,1600.0,2,Yeyyadi,Flat,8200000.0,5125.0
20 Lac,470.0,1,Nagar,Flat,2000000.0,4255.0
52.3 Lac,1260.0,3,Kulshekar,Flat,5230000.0,4151.0
56.9 Lac,1370.0,3,Kulshekar,Flat,5690000.0,4153.0
43.6 Lac,1050.0,2,Kulshekar,Flat,4360000.0,4152.0
34 Lac,740.0,2,Kulshekar,Flat,3400000.0,4595.0
41.9 Lac,1010.0,2,Kulshekar,Flat,4190000.0,4149.0
44.4 Lac,1070.0,2,Kulshekar,Flat,4440000.0,4150.0
55 Lac,1600.0,2,Kadri,Flat,5500000.0,3438.0
1 Cr,1740.0,2,Kankanady,Flat,10000000.0,5747.0
60 Lac,1485.0,3,Bejai,Flat,6000000.0,4040.0
56.2 Lac,1070.0,2,Nagar,Flat,5620000.0,5252.0
62 Lac,1800.0,2,Bondel,Flat,6200000.0,3444.0
1.30 Cr,2160.0,3,Derebail,Flat,13000000.0,6019.0
65 Lac,1699.0,3,Attavar,Flat,6500000.0,3826.0
68 Lac,1860.0,3,Bejai,Flat,6800000.0,3656.0
25 Lac,750.0,2,Kankanady,Flat,2500000.0,3333.0
51 Lac,1837.5,2,Subhashnagar,Flat,5100000.0,2776.0
3.10 Cr,4050.0,3,Kadri,Flat,31000000.0,7654.0
18 Lac,750.0,1,Boloor,Flat,1800000.0,2400.0
33 Lac,1500.0,2,Mary Hill,Flat,3300000.0,2200.0
52 Lac,1635.0,2,Car Street,Flat,5200000.0,3180.0
45 Lac,1160.0,2,Road,Flat,4500000.0,3879.0
61 Lac,1430.0,3,Kadri,Flat,6100000.0,4266.0
90 Lac,2025.0,3,Kadri,Flat,9000000.0,4444.0
1.65 Cr,3352.5,3,Urwa,Flat,16500000.0,4922.0
1.03 Cr,1525.0,2,Kadri,Flat,10300000.0,6754.0
1.35 Cr,2005.0,3,Kadri,Flat,13500000.0,6733.0
1.51 Cr,2255.0,3,Kadri,Flat,15100000.0,6696.0
70 Lac,1390.0,2,Kadri,Flat,7000000.0,5036.0
50 Lac,1875.0,2,Others,Flat,5000000.0,2667.0
30 Lac,1000.0,2,Moodabidri,Flat,3000000.0,3000.0
42 Lac,1200.0,2,Shivabagh,Flat,4200000.0,3500.0
90 Lac,2220.0,3,Padil,Flat,9000000.0,4054.0
75 Lac,2625.0,3,Kodalguttu,Flat,7500000.0,2857.0
1.22 Cr,2475.0,3,Kadri,Flat,12200000.0,4929.0
25 Lac,800.0,2,Bunder,Flat,2500000.0,3125.0
55 Lac,1100.0,2,Bunder,Flat,5500000.0,5000.0
74 Lac,1837.5,2,Matadakani,Flat,7400000.0,4027.0
50 Lac,1200.0,3,Kulashekara,Flat,5000000.0,4167.0
55 Lac,1570.0,3,Kulashekara,Flat,5500000.0,3503.0
75 Lac,1537.5,2,Pumpwell,Flat,7500000.0,4878.0
84 Lac,1974.0,2,Padavinangady,Flat,8400000.0,4255.0
79 Lac,1650.0,2,Urwa,Flat,7900000.0,4788.0
30 Lac,900.0,2,Maroli,Flat,3000000.0,3333.0
40 Lac,700.0,2,Ballalbagh,Flat,4000000.0,5714.0
45 Lac,900.0,2,Ballalbagh,Flat,4500000.0,5000.0
